submission_id,talk_title,assigned_theme,confidence,notes
e753bd3c-bf98-2779-4664-3da5906f5f48,Sovereign Cloud: what changed when our regulator weighed in,Cloud spend as financial discipline,high,
68d9a64d-82dc-0b6f-7b71-c6bc8642168c,"AI Pair Working for analysts, lawyers, and PMs",AI in the boring middle of the workday,high,
8445d6d1-c7c9-6719-dc4f-e57a3d475062,Co-Building with Customers: lessons from three pilots,Real customer stories from inside the company,high,
bbbbd41f-8077-bb63-e4e2-ce0c2228b504,Trust as a Feature: what customers actually buy,Real customer stories from inside the company,high,
9a5ff4d5-50de-649b-2dcf-b1958588485d,"Show, Don't Sell: customer demos as the new sales motion",Real customer stories from inside the company,high,
950d1969-4cc6-28aa-3593-4d44cf9c94ef,"Shift-Left, but Honestly",Security and compliance as something we ship,high,
784f2538-d676-5265-7ce7-0438c065d011,DX as a P&L Conversation,Developer experience as a strategic investment,high,
1e976a66-8f5c-3cfa-19b9-e35784394c5b,"Trust, but Verify: human review patterns for AI output",AI in the boring middle of the workday,high,
e8a05eaf-8206-8cbe-4adb-60e6070aa3db,From Support Ticket to Roadmap Item: closing the loop,Real customer stories from inside the company,high,
5a848fae-e11b-df4b-f703-9d9200085ba2,Trust as a Feature: what customers actually buy,Real customer stories from inside the company,high,
78c8e1c5-ecf9-d07b-1c2f-0930f38b449d,"Press, Podcasts, and Pull Requests: a brand-presence playbook",Real customer stories from inside the company,medium,exec-only theme overlap (external brand visibility)
2e32f03d-a472-872e-5bc9-0b6d489a5eab,"Trust, but Verify: human review patterns for AI output",AI in the boring middle of the workday,high,
bef3b766-8a49-2708-1b65-663227bb9453,Shipping AI copilots into production workflows,AI in the boring middle of the workday,high,
840ce79f-0ed1-383f-a0ab-abb6f95c8911,"Onboarding in Hours, Not Weeks",Developer experience as a strategic investment,high,
3da43380-77eb-20d8-e866-3e44eaabe7d1,Data Contracts between platform and product,Real customer stories from inside the company,medium,data talk re-cast as customer-story angle
7d388337-fdc7-c9b0-3731-bef4564452c4,Decommissioning the Spreadsheet of Truth,Real customer stories from inside the company,medium,data talk re-cast as customer-story angle
d30479f2-1153-97b9-25a6-4ae253ed4b72,Internal Developer Platforms: pitched honestly,Developer experience as a strategic investment,high,
9f40d86d-773d-0c54-ebc9-e572493b5659,Trust as a Feature: what customers actually buy,Real customer stories from inside the company,high,
78740410-8604-2407-4e5c-ba452833a7f0,Why I Stopped Calling It 'Tooling' and Started Calling It 'DX',Developer experience as a strategic investment,high,
b3c3ed5e-4fca-8b36-76f5-7cbe4c9866a1,The Lakehouse Conversation we keep avoiding,unassigned,low,considered Data direction; cut as cross-cutting
eba0aedc-1ecd-4621-5179-849800cbf081,Closing the Tap: cloud spend governance that actually works,Cloud spend as financial discipline,high,
eac64617-fec6-5164-54be-536f34f20611,How We Survived Our First Pen Test,Security and compliance as something we ship,high,
031c4b89-6b68-d3b3-2fec-c5a90b72f69f,The Ten-Minute Loop: AI-assisted research in product teams,AI in the boring middle of the workday,high,
c459ef7a-535b-e9cf-a695-9efcfa907975,"Onboarding in Hours, Not Weeks",Developer experience as a strategic investment,high,
38b10dae-09bd-2cde-a5fd-9ea38af4eefb,The Ten-Minute Loop: AI-assisted research in product teams,AI in the boring middle of the workday,high,
4fa600ca-b000-9ee6-fbf6-49fd0d00a5f9,"Real Numbers, Real Names: outcome stories from year one",Real customer stories from inside the company,high,
1350962c-254f-f3e5-b9e1-470c9ac4a9bc,"AI Pair Working for analysts, lawyers, and PMs",AI in the boring middle of the workday,high,
e652595c-3be6-b979-763e-c1bd31d81273,Cost Anomaly Detection without buying a third-party tool,Cloud spend as financial discipline,high,
314e7d6b-6619-8ed5-3d9c-c35ee131dd31,From Pilot to Practice: AI assistants on the operations team,AI in the boring middle of the workday,high,
f157a095-d855-da6b-6f59-2420e54a7490,Zero Trust for an org that wasn't built for it,Security and compliance as something we ship,high,
a4789c5b-a0c4-c0af-74ff-2cc3f87e025f,Hybrid by Design: where on-prem still wins,Cloud spend as financial discipline,high,
077482c6-69ce-c798-aa3f-1cba384e6d92,Inside the Field: what our top accounts told us this year,Real customer stories from inside the company,high,
f4f6def8-5689-c51f-1ede-b77543e92240,Voice of the Customer without the dashboards,Real customer stories from inside the company,high,
2f6353e5-742e-696e-48a0-01e073e07b4b,Region Strategy for a company that grew up in one zone,Cloud spend as financial discipline,high,
12245e80-2163-2c5a-990f-d96c48de164d,"Architecting for Spend, Not Just Speed",Cloud spend as financial discipline,high,
91d02ddf-b7e0-d33f-970f-baefde12c3e0,Sovereign Cloud: what changed when our regulator weighed in,Cloud spend as financial discipline,high,
26d8dde4-a5fa-0654-d3d3-f5793b95e258,The FinOps Conversation we should have had two years ago,Cloud spend as financial discipline,high,
93b36efa-dc46-dd76-16bd-78f700f6c9cf,The Lakehouse Conversation we keep avoiding,AI in the boring middle of the workday,medium,data talk re-cast as AI-in-workflows
6bee31c2-60e9-e79e-38ce-0ef20497d1a5,Multi-Cloud Reality: what we cut and what we kept,Cloud spend as financial discipline,high,
caf9fa3c-16f5-ed27-7680-d1337f8ee1bc,The Day-in-the-Life of a Tier 2 customer,Real customer stories from inside the company,high,
f1ee4363-da9a-bda4-1c4a-6c8b52b44682,Renewals as a Story Problem,Real customer stories from inside the company,high,
aa9bd196-c820-67b7-eaa7-261e29a8c8c0,How We Survived Our First Pen Test,Security and compliance as something we ship,high,
